,high,low,moderate
num__dog_id,0.06970909216193222,-0.03881143820464413,-0.030897653957290976
num__external_id,0.06970909216193222,-0.03881143820464413,-0.030897653957290976
num__birth_year,0.05946056501385439,-0.13568736203980544,0.07622679702595302
num__age_years_estimate,0.18768721237846003,-0.16325536745311814,-0.02443184492534768
num__is_prime_age,-0.32641959418892935,0.16448770082641245,0.16193189336251732
num__is_aging,2.285844238065516,-2.1070087288009187,-0.17883550926457634
num__is_senior,0.36254409834676715,-0.16205960993449356,-0.2004844884122761
num__kennel_block,-0.087066044506103,0.09163300697808566,-0.004566962471982465
num__home_slot,-0.04656825049622449,0.0007039310915450069,0.045864319404686285
num__can_lead,0.05569264730147752,-0.009661685182339766,-0.04603096211914163
num__can_team,0.159142337504333,-0.14265374963267344,-0.016488587871655677
num__can_wheel,-0.13980707467129022,0.13331018841501455,0.006496886256276815
num__is_active,0.0,0.0,0.0
num__current_day_worked,-1.3682024290435784,1.5352506924425864,-0.167048263399022
num__current_day_km,0.21163455326809322,-0.358900525585083,0.14726597231697977
num__total_worklogs_so_far,-0.4189002138839558,0.526173582503499,-0.10727336861953048
num__worked_days_total,0.08498788333086377,-0.22351059054861094,0.13852270721774704
num__total_km_so_far,0.17672899548635487,-0.05778491753229885,-0.11894407795405722
num__average_km_per_worked_day,0.801985826456543,-0.5257429953331559,-0.2762428311233893
num__km_3d,0.36659969416981186,-0.07512440465150938,-0.2914752895182998
num__km_7d,0.7694387129518786,-2.4377728428346503,1.6683341298827807
num__km_14d,1.3044408977044921,-1.4593270540937342,0.15488615638924086
num__worked_days_3d,0.1558151453739487,-0.2901416662430605,0.13432652086910413
num__worked_days_7d,4.378617024506758,-3.9180427098227795,-0.4605743146839716
num__worked_days_14d,0.7498980315609002,-0.4210453960157846,-0.3288526355451206
num__recent_avg_km_per_worked_day_7d,0.8918840023715962,-1.478660237443173,0.5867762350715754
num__load_vs_own_average_ratio,1.7194840536563176,-1.0639466697616644,-0.6555373838946607
num__last_day_vs_own_average_ratio,0.9566575074745071,-0.9754463813405931,0.01878887386608364
num__current_hard_streak,4.405556714113316,-4.134969020832109,-0.27058769328119975
num__hard_days_count_total,0.20591317673576248,-0.3400819554794999,0.13416877874373143
num__days_since_last_run,0.09533278607876645,0.02163251469964189,-0.11696530077841136
num__hard_day_km_threshold,0.0,0.0,0.0
cat__age_group_aging,0.9886671440159482,-0.964502368488943,-0.024164775527007933
cat__age_group_prime,-0.26911613682562996,0.07602024287167801,0.1930958939539433
cat__age_group_senior,0.015881502282326723,-0.007283603991775568,-0.008597898290551301
cat__age_group_young,-0.920866243937811,0.8870780062919144,0.03378823764589697
cat__sex_F,-0.10232718622383723,0.019987483660087946,0.0823397025637528
cat__sex_M,-0.0831065482413195,-0.028675206977211126,0.1117817552185341
cat__kennel_row_A,0.0600454015173484,0.19692651055915852,-0.25697191207650893
cat__kennel_row_B-1,0.1056959259605775,0.05050241996916946,-0.15619834592974588
cat__kennel_row_B-2,-0.01402548257783822,0.01843024222112571,-0.004404759643288312
cat__kennel_row_C-1,0.13825947788182436,-0.2964753202970039,0.15821584241518283
cat__kennel_row_C-2,-0.1922929987220485,-0.050444802910691165,0.24273780163274083
cat__kennel_row_D-1,-0.05766644627125894,0.0289258965847382,0.02874054968652166
cat__kennel_row_D-2,0.17989317971259128,-0.11803311605938875,-0.0618600636532029
cat__kennel_row_E,-0.16339827911379906,0.16437343114682065,-0.0009751520330211385
cat__kennel_row_YKSIOT,-0.24194451285254995,-0.002892984531053698,0.2448374973836077
cat__primary_role_lead,-0.03524858010478642,-0.007427854996671675,0.04267643510145955
cat__primary_role_none,-0.013005248139417471,0.025227455524041032,-0.012222207384622154
cat__primary_role_team,-0.46474758910049735,0.2960887675133592,0.1686588215871439
cat__primary_role_wheel,0.32756768287954124,-0.32257609135785453,-0.004991591521689641
cat__status_active,-0.17242848632574614,-0.033915178841167674,0.20634366516690794
cat__status_juvenile,-0.008565027347100029,0.016719703442314528,-0.008154676095214098
cat__status_retired,-0.004440220792317545,0.008507752081726697,-0.004067531289408012
